2025/10/23 16:42:44 [error] 18716#21844: *8198 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/comments?context=embed&status=approve&order=asc&parent=0&_embed=children&per_page=50&page=1&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "uma.local", referrer: "http://uma.local/wp-admin/site-editor.php?p=%2Ftemplate"
2025/10/23 16:42:45 [error] 18716#21844: *8196 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/types?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "uma.local", referrer: "http://uma.local/wp-admin/site-editor.php?p=%2Ftemplate"
2025/10/23 16:42:45 [error] 18716#21844: *8196 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/types?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "uma.local", referrer: "http://uma.local/wp-admin/site-editor.php?p=%2Ftemplate"
2025/10/23 16:42:45 [error] 18716#21844: *8198 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/comments?context=embed&status=approve&order=asc&parent=0&_embed=children&per_page=50&page=1&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "uma.local", referrer: "http://uma.local/wp-admin/site-editor.php?p=%2Ftemplate"
2025/10/23 16:42:47 [error] 18716#21844: *8206 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/blocks?context=edit&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "uma.local", referrer: "http://uma.local/wp-admin/site-editor.php?p=%2Fpattern"
2025/10/23 16:42:47 [error] 18716#21844: *8207 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/types/wp_block?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "uma.local", referrer: "http://uma.local/wp-admin/site-editor.php?p=%2Fpattern"
2025/10/23 16:42:47 [error] 18716#21844: *8208 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/blocks?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "uma.local", referrer: "http://uma.local/wp-admin/site-editor.php?p=%2Fpattern"
2025/10/23 16:42:47 [error] 18716#21844: *8209 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/template-parts?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "uma.local", referrer: "http://uma.local/wp-admin/site-editor.php?p=%2Fpattern"
2025/10/23 16:42:48 [error] 18716#21844: *8310 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/posts?context=edit&offset=0&order=desc&orderby=date&per_page=3&ignore_sticky=false&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "uma.local", referrer: "http://uma.local/wp-admin/site-editor.php?p=%2Fpattern"
2025/10/23 16:42:48 [error] 18716#21844: *8311 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "uma.local", referrer: "http://uma.local/wp-admin/site-editor.php?p=%2Fpattern"
2025/10/23 16:42:48 [error] 18716#21844: *8312 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/categories?context=view&per_page=100&hide_empty=true&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "uma.local", referrer: "http://uma.local/wp-admin/site-editor.php?p=%2Fpattern"
2025/10/23 16:42:48 [error] 18716#21844: *8313 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/posts?context=edit&offset=3&order=desc&orderby=date&per_page=3&sticky=false&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "uma.local", referrer: "http://uma.local/wp-admin/site-editor.php?p=%2Fpattern"
2025/10/23 16:42:48 [error] 18716#21844: *8314 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/posts?context=edit&offset=0&order=desc&orderby=date&per_page=3&ignore_sticky=false&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "uma.local", referrer: "http://uma.local/wp-admin/site-editor.php?p=%2Fpattern"
2025/10/23 16:42:48 [error] 18716#21844: *8316 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/posts?context=edit&offset=9&order=desc&orderby=date&per_page=3&sticky=false&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "uma.local", referrer: "http://uma.local/wp-admin/site-editor.php?p=%2Fpattern"
2025/10/23 16:42:48 [error] 18716#21844: *8315 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/posts?context=edit&offset=6&order=desc&orderby=date&per_page=3&sticky=false&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "uma.local", referrer: "http://uma.local/wp-admin/site-editor.php?p=%2Fpattern"
2025/10/23 16:42:51 [error] 18716#21844: *8327 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "uma.local", referrer: "http://uma.local/wp-admin/site-editor.php?p=%2Fwp_template_part%2Ftwentytwentyfour%2F%2Ffooter&canvas=edit"
